valid_time,depthBelowLandLayer,latitude,longitude,number,surface,t2m
1990-05-31,3,3,3,3,3,3
1990-06-30,9,9,9,9,9,9
1990-07-31,18,18,18,18,18,18
1990-08-31,25,25,25,25,25,25
1990-09-30,2,2,2,2,2,2
1990-10-31,0,0,0,0,0,0
1990-11-30,0,0,0,0,0,0
1990-12-31,0,0,0,0,0,0
1991-01-31,0,0,0,0,0,0
1991-02-28,0,0,0,0,0,0
1991-03-31,0,0,0,0,0,0
1991-04-30,0,0,0,0,0,0
1991-05-31,0,0,0,0,0,0
1991-06-30,10,10,10,10,10,10
1991-07-31,23,23,23,23,23,23
1991-08-31,19,19,19,19,19,19
1991-09-30,8,8,8,8,8,8
1991-10-31,0,0,0,0,0,0
1991-11-30,0,0,0,0,0,0
1991-12-31,0,0,0,0,0,0
1992-01-31,0,0,0,0,0,0
1992-02-29,0,0,0,0,0,0
1992-03-31,0,0,0,0,0,0
1992-04-30,0,0,0,0,0,0
1992-05-31,0,0,0,0,0,0
1992-06-30,9,9,9,9,9,9
1992-07-31,25,25,25,25,25,25
1992-08-31,31,31,31,31,31,31
1992-09-30,10,10,10,10,10,10
1992-10-31,0,0,0,0,0,0
1992-11-30,0,0,0,0,0,0
1992-12-31,0,0,0,0,0,0
1993-01-31,0,0,0,0,0,0
1993-02-28,0,0,0,0,0,0
1993-03-31,0,0,0,0,0,0
1993-04-30,0,0,0,0,0,0
1993-05-31,7,7,7,7,7,7
1993-06-30,14,14,14,14,14,14
1993-07-31,19,19,19,19,19,19
1993-08-31,21,21,21,21,21,21
1993-09-30,1,1,1,1,1,1
1993-10-31,0,0,0,0,0,0
1993-11-30,0,0,0,0,0,0
1993-12-31,0,0,0,0,0,0
1994-01-31,0,0,0,0,0,0
1994-02-28,0,0,0,0,0,0
1994-03-31,0,0,0,0,0,0
1994-04-30,0,0,0,0,0,0
1994-05-31,7,7,7,7,7,7
1994-06-30,14,14,14,14,14,14
1994-07-31,27,27,27,27,27,27
1994-08-31,24,24,24,24,24,24
1994-09-30,13,13,13,13,13,13
1994-10-31,1,1,1,1,1,1
1994-11-30,0,0,0,0,0,0
1994-12-31,0,0,0,0,0,0
1995-01-31,0,0,0,0,0,0
1995-02-28,0,0,0,0,0,0
1995-03-31,0,0,0,0,0,0
1995-04-30,0,0,0,0,0,0
1995-05-31,4,4,4,4,4,4
1995-06-30,4,4,4,4,4,4
1995-07-31,27,27,27,27,27,27
1995-08-31,19,19,19,19,19,19
1995-09-30,0,0,0,0,0,0
1995-10-31,0,0,0,0,0,0
1995-11-30,0,0,0,0,0,0
1995-12-31,0,0,0,0,0,0
1996-01-31,0,0,0,0,0,0
1996-02-29,0,0,0,0,0,0
1996-03-31,0,0,0,0,0,0
1996-04-30,0,0,0,0,0,0
1996-05-31,3,3,3,3,3,3
1996-06-30,17,17,17,17,17,17
1996-07-31,15,15,15,15,15,15
1996-08-31,16,16,16,16,16,16
1996-09-30,0,0,0,0,0,0
1996-10-31,0,0,0,0,0,0
1996-11-30,0,0,0,0,0,0
1996-12-31,0,0,0,0,0,0
1997-01-31,0,0,0,0,0,0
1997-02-28,0,0,0,0,0,0
1997-03-31,0,0,0,0,0,0
1997-04-30,0,0,0,0,0,0
1997-05-31,9,9,9,9,9,9
1997-06-30,15,15,15,15,15,15
1997-07-31,19,19,19,19,19,19
1997-08-31,21,21,21,21,21,21
1997-09-30,10,10,10,10,10,10
1997-10-31,0,0,0,0,0,0
1997-11-30,0,0,0,0,0,0
1997-12-31,0,0,0,0,0,0
1998-01-31,0,0,0,0,0,0
1998-02-28,0,0,0,0,0,0
1998-03-31,0,0,0,0,0,0
1998-04-30,0,0,0,0,0,0
1998-05-31,1,1,1,1,1,1
1998-06-30,14,14,14,14,14,14
1998-07-31,20,20,20,20,20,20
1998-08-31,21,21,21,21,21,21
1998-09-30,2,2,2,2,2,2
1998-10-31,0,0,0,0,0,0
1998-11-30,0,0,0,0,0,0
1998-12-31,0,0,0,0,0,0
1999-01-31,0,0,0,0,0,0
1999-02-28,0,0,0,0,0,0
1999-03-31,0,0,0,0,0,0
1999-04-30,0,0,0,0,0,0
1999-05-31,5,5,5,5,5,5
1999-06-30,11,11,11,11,11,11
1999-07-31,15,15,15,15,15,15
1999-08-31,14,14,14,14,14,14
1999-09-30,7,7,7,7,7,7
1999-10-31,0,0,0,0,0,0
1999-11-30,0,0,0,0,0,0
1999-12-31,0,0,0,0,0,0
2000-01-31,0,0,0,0,0,0
2000-02-29,0,0,0,0,0,0
2000-03-31,0,0,0,0,0,0
2000-04-30,2,2,2,2,2,2
2000-05-31,9,9,9,9,9,9
2000-06-30,18,18,18,18,18,18
2000-07-31,17,17,17,17,17,17
2000-08-31,26,26,26,26,26,26
2000-09-30,7,7,7,7,7,7
2000-10-31,0,0,0,0,0,0
2000-11-30,0,0,0,0,0,0
2000-12-31,0,0,0,0,0,0
2001-01-31,0,0,0,0,0,0
2001-02-28,0,0,0,0,0,0
2001-03-31,0,0,0,0,0,0
2001-04-30,0,0,0,0,0,0
2001-05-31,8,8,8,8,8,8
2001-06-30,11,11,11,11,11,11
2001-07-31,19,19,19,19,19,19
2001-08-31,26,26,26,26,26,26
2001-09-30,1,1,1,1,1,1
2001-10-31,0,0,0,0,0,0
2001-11-30,0,0,0,0,0,0
2001-12-31,0,0,0,0,0,0
2002-01-31,0,0,0,0,0,0
2002-02-28,0,0,0,0,0,0
2002-03-31,0,0,0,0,0,0
2002-04-30,0,0,0,0,0,0
2002-05-31,2,2,2,2,2,2
2002-06-30,14,14,14,14,14,14
2002-07-31,22,22,22,22,22,22
2002-08-31,15,15,15,15,15,15
2002-09-30,0,0,0,0,0,0
2002-10-31,0,0,0,0,0,0
2002-11-30,0,0,0,0,0,0
2002-12-31,0,0,0,0,0,0
2003-01-31,0,0,0,0,0,0
2003-02-28,0,0,0,0,0,0
2003-03-31,0,0,0,0,0,0
2003-04-30,0,0,0,0,0,0
2003-05-31,19,19,19,19,19,19
2003-06-30,26,26,26,26,26,26
2003-07-31,25,25,25,25,25,25
2003-08-31,29,29,29,29,29,29
2003-09-30,6,6,6,6,6,6
2003-10-31,0,0,0,0,0,0
2003-11-30,0,0,0,0,0,0
2003-12-31,0,0,0,0,0,0
2004-01-31,0,0,0,0,0,0
2004-02-29,0,0,0,0,0,0
2004-03-31,0,0,0,0,0,0
2004-04-30,0,0,0,0,0,0
2004-05-31,0,0,0,0,0,0
2004-06-30,10,10,10,10,10,10
2004-07-31,16,16,16,16,16,16
2004-08-31,21,21,21,21,21,21
2004-09-30,5,5,5,5,5,5
2004-10-31,0,0,0,0,0,0
2004-11-30,0,0,0,0,0,0
2004-12-31,0,0,0,0,0,0
2005-01-31,0,0,0,0,0,0
2005-02-28,0,0,0,0,0,0
2005-03-31,0,0,0,0,0,0
2005-04-30,0,0,0,0,0,0
2005-05-31,7,7,7,7,7,7
2005-06-30,16,16,16,16,16,16
2005-07-31,16,16,16,16,16,16
2005-08-31,7,7,7,7,7,7
2005-09-30,5,5,5,5,5,5
2005-10-31,0,0,0,0,0,0
2005-11-30,0,0,0,0,0,0
2005-12-31,0,0,0,0,0,0
2006-01-31,0,0,0,0,0,0
2006-02-28,0,0,0,0,0,0
2006-03-31,0,0,0,0,0,0
2006-04-30,0,0,0,0,0,0
2006-05-31,4,4,4,4,4,4
2006-06-30,18,18,18,18,18,18
2006-07-31,25,25,25,25,25,25
2006-08-31,6,6,6,6,6,6
2006-09-30,5,5,5,5,5,5
2006-10-31,1,1,1,1,1,1
2006-11-30,0,0,0,0,0,0
2006-12-31,0,0,0,0,0,0
2007-01-31,0,0,0,0,0,0
2007-02-28,0,0,0,0,0,0
2007-03-31,0,0,0,0,0,0
2007-04-30,0,0,0,0,0,0
2007-05-31,11,11,11,11,11,11
2007-06-30,20,20,20,20,20,20
2007-07-31,24,24,24,24,24,24
2007-08-31,19,19,19,19,19,19
2007-09-30,1,1,1,1,1,1
2007-10-31,0,0,0,0,0,0
2007-11-30,0,0,0,0,0,0
2007-12-31,0,0,0,0,0,0
2008-01-31,0,0,0,0,0,0
2008-02-29,0,0,0,0,0,0
2008-03-31,0,0,0,0,0,0
2008-04-30,0,0,0,0,0,0
2008-05-31,5,5,5,5,5,5
2008-06-30,16,16,16,16,16,16
2008-07-31,21,21,21,21,21,21
2008-08-31,22,22,22,22,22,22
2008-09-30,10,10,10,10,10,10
2008-10-31,0,0,0,0,0,0
2008-11-30,0,0,0,0,0,0
2008-12-31,0,0,0,0,0,0
2009-01-31,0,0,0,0,0,0
2009-02-28,0,0,0,0,0,0
2009-03-31,0,0,0,0,0,0
2009-04-30,0,0,0,0,0,0
2009-05-31,10,10,10,10,10,10
2009-06-30,11,11,11,11,11,11
2009-07-31,23,23,23,23,23,23
2009-08-31,25,25,25,25,25,25
2009-09-30,6,6,6,6,6,6
2009-10-31,4,4,4,4,4,4
2009-11-30,0,0,0,0,0,0
2009-12-31,0,0,0,0,0,0
2010-01-31,0,0,0,0,0,0
2010-02-28,0,0,0,0,0,0
2010-03-31,0,0,0,0,0,0
2010-04-30,0,0,0,0,0,0
2010-05-31,1,1,1,1,1,1
2010-06-30,12,12,12,12,12,12
2010-07-31,22,22,22,22,22,22
2010-08-31,23,23,23,23,23,23
2010-09-30,0,0,0,0,0,0
2010-10-31,0,0,0,0,0,0
2010-11-30,0,0,0,0,0,0
2010-12-31,0,0,0,0,0,0
2011-01-31,0,0,0,0,0,0
2011-02-28,0,0,0,0,0,0
2011-03-31,0,0,0,0,0,0
2011-04-30,0,0,0,0,0,0
2011-05-31,12,12,12,12,12,12
2011-06-30,17,17,17,17,17,17
2011-07-31,21,21,21,21,21,21
2011-08-31,25,25,25,25,25,25
2011-09-30,16,16,16,16,16,16
2011-10-31,1,1,1,1,1,1
2011-11-30,0,0,0,0,0,0
2011-12-31,0,0,0,0,0,0
2012-01-31,0,0,0,0,0,0
2012-02-29,0,0,0,0,0,0
2012-03-31,0,0,0,0,0,0
2012-04-30,3,3,3,3,3,3
2012-05-31,7,7,7,7,7,7
2012-06-30,21,21,21,21,21,21
2012-07-31,26,26,26,26,26,26
2012-08-31,29,29,29,29,29,29
2012-09-30,12,12,12,12,12,12
2012-10-31,0,0,0,0,0,0
2012-11-30,0,0,0,0,0,0
2012-12-31,0,0,0,0,0,0
2013-01-31,0,0,0,0,0,0
2013-02-28,0,0,0,0,0,0
2013-03-31,0,0,0,0,0,0
2013-04-30,3,3,3,3,3,3
2013-05-31,1,1,1,1,1,1
2013-06-30,11,11,11,11,11,11
2013-07-31,27,27,27,27,27,27
2013-08-31,21,21,21,21,21,21
2013-09-30,5,5,5,5,5,5
2013-10-31,0,0,0,0,0,0
2013-11-30,0,0,0,0,0,0
2013-12-31,0,0,0,0,0,0
2014-01-31,0,0,0,0,0,0
2014-02-28,0,0,0,0,0,0
2014-03-31,0,0,0,0,0,0
2014-04-30,0,0,0,0,0,0
2014-05-31,2,2,2,2,2,2
2014-06-30,12,12,12,12,12,12
2014-07-31,20,20,20,20,20,20
2014-08-31,11,11,11,11,11,11
2014-09-30,1,1,1,1,1,1
2014-10-31,0,0,0,0,0,0
2014-11-30,0,0,0,0,0,0
2014-12-31,0,0,0,0,0,0
2015-01-31,0,0,0,0,0,0
2015-02-28,0,0,0,0,0,0
2015-03-31,0,0,0,0,0,0
2015-04-30,0,0,0,0,0,0
2015-05-31,6,6,6,6,6,6
2015-06-30,19,19,19,19,19,19
2015-07-31,23,23,23,23,23,23
2015-08-31,24,24,24,24,24,24
2015-09-30,9,9,9,9,9,9
2015-10-31,0,0,0,0,0,0
2015-11-30,0,0,0,0,0,0
2015-12-31,0,0,0,0,0,0
2016-01-31,0,0,0,0,0,0
2016-02-29,0,0,0,0,0,0
2016-03-31,0,0,0,0,0,0
2016-04-30,0,0,0,0,0,0
2016-05-31,3,3,3,3,3,3
2016-06-30,14,14,14,14,14,14
2016-07-31,26,26,26,26,26,26
2016-08-31,20,20,20,20,20,20
2016-09-30,13,13,13,13,13,13
2016-10-31,0,0,0,0,0,0
2016-11-30,0,0,0,0,0,0
2016-12-31,0,0,0,0,0,0
2017-01-31,0,0,0,0,0,0
2017-02-28,0,0,0,0,0,0
2017-03-31,0,0,0,0,0,0
2017-04-30,0,0,0,0,0,0
2017-05-31,4,4,4,4,4,4
2017-06-30,24,24,24,24,24,24
2017-07-31,23,23,23,23,23,23
2017-08-31,25,25,25,25,25,25
2017-09-30,3,3,3,3,3,3
2017-10-31,0,0,0,0,0,0
2017-11-30,0,0,0,0,0,0
2017-12-31,0,0,0,0,0,0
2018-01-31,0,0,0,0,0,0
2018-02-28,0,0,0,0,0,0
2018-03-31,0,0,0,0,0,0
2018-04-30,5,5,5,5,5,5
2018-05-31,7,7,7,7,7,7
2018-06-30,17,17,17,17,17,17
2018-07-31,24,24,24,24,24,24
2018-08-31,27,27,27,27,27,27
2018-09-30,13,13,13,13,13,13
2018-10-31,0,0,0,0,0,0
2018-11-30,0,0,0,0,0,0
2018-12-31,0,0,0,0,0,0
2019-01-31,0,0,0,0,0,0
2019-02-28,0,0,0,0,0,0
2019-03-31,0,0,0,0,0,0
2019-04-30,0,0,0,0,0,0
2019-05-31,0,0,0,0,0,0
2019-06-30,25,25,25,25,25,25
2019-07-31,21,21,21,21,21,21
2019-08-31,26,26,26,26,26,26
2019-09-30,4,4,4,4,4,4
